id,greenhous_temperature_celsius,greenhouse_humidity_percentage,greenhouse_illuminance_lux,online_temperature_celsius,online_humidity_percentage,greenhouse_total_volatile_organic_compounds_ppb,greenhouse_equivalent_co2_ppm,created,stress_risk
441656,12.248883141411676,68.39144558376736,0.0,4.699999809265137,94.0,505.6666666666667,958.2222222222222,2021-03-14 20:20:05,0
441703,12.22811402214898,68.78818003336589,0.0,4.699999809265137,94.0,541.7777777777778,1013.7777777777778,2021-03-14 20:30:07,0
441750,12.240575578477648,69.00112745496962,0.0,4.300000190734863,96.0,560.3333333333334,1043.0,2021-03-14 20:40:04,0
441797,12.275615882873534,69.15007095336914,0.0,4.5,92.0,575.1,1062.0,2021-03-14 20:50:02,0
441849,12.342344601949057,69.36259884304471,0.0,4.5,92.0,585.4444444444445,1085.888888888889,2021-03-14 21:00:06,0
441896,12.43209753036499,69.49767303466797,0.0,4.800000190734863,89.0,590.4,1096.9,2021-03-14 21:10:02,0
441948,12.509685304429796,69.53332773844402,0.0,5.300000190734863,87.0,603.2222222222222,1117.2222222222222,2021-03-14 21:20:06,0
441995,12.534104251861573,69.52605438232422,0.0,5.300000190734863,87.0,604.3,1120.3,2021-03-14 21:30:05,0
442047,12.533035945892331,69.3879623413086,0.0,5.800000190734863,84.0,596.6,1109.4,2021-03-14 21:40:04,0
442099,12.529831600189208,69.45586395263672,0.0,5.800000190734863,84.0,584.0,1086.2,2021-03-14 21:50:04,0
442151,12.51888296339247,69.45245615641277,0.0,6.0,83.0,589.2222222222222,1098.0,2021-03-14 22:00:09,0
442198,12.541580963134766,69.56526947021484,0.0,6.300000190734863,79.0,585.3,1093.7,2021-03-14 22:10:04,0
442250,12.617151069641114,69.66979217529297,0.0,6.400000095367432,80.0,575.8,1081.2,2021-03-14 22:20:06,0
442302,12.69165334701538,69.72625122070312,0.0,6.400000095367432,80.0,567.5,1071.6,2021-03-14 22:30:08,0
442354,12.723311530219185,69.77391391330295,0.0,6.599999904632568,80.0,554.6666666666666,1063.111111111111,2021-03-14 22:40:03,0
442401,12.759212493896484,69.798583984375,0.0,6.5,81.0,560.3,1066.0,2021-03-14 22:50:02,0
442453,12.770962142944336,69.7845458984375,0.0,6.5,81.0,593.9,1116.5,2021-03-14 23:00:09,0
